,u,i,ts,label,idx
0,7320,15254,0.0,5.0,1
1,6236,15261,7.16e-05,1.0,2
2,9445,15261,0.000178802,5.0,3
3,10683,15261,0.000190256,5.0,4
4,14229,15261,0.000203407,1.0,5
5,5794,15261,0.000247205,5.0,6
6,2468,15261,0.000267706,5.0,7
7,14152,15258,0.000295726,2.0,8
8,10722,15254,0.000333841,2.0,9
9,14118,15258,0.000467394,2.0,10
10,14118,15258,0.000467394,2.0,11
11,10573,15254,0.000642747,1.0,12
12,7361,15254,0.000690086,5.0,13
13,12037,15261,0.000693795,5.0,14
14,5420,15258,0.000743205,1.0,15
15,7371,15254,0.000890081,2.0,16
16,14166,15261,0.001179269,5.0,17
17,14083,15254,0.001239062,1.0,18
18,4037,15258,0.001281659,4.0,19
19,14198,15258,0.001293767,4.0,20
20,14186,15261,0.001312202,1.0,21
21,14269,15261,0.001317962,5.0,22
22,14062,15254,0.001364149,1.0,23
23,8467,15261,0.001458933,2.0,24
24,14157,15261,0.001532847,5.0,25
25,14112,15254,0.001540582,5.0,26
26,3959,15258,0.001545997,5.0,27
27,8593,15254,0.001563755,5.0,28
28,6630,15258,0.001616759,5.0,29
29,14172,15254,0.001676465,5.0,30
30,1155,15261,0.001746314,4.0,31
31,10338,15254,0.001776146,5.0,32
32,8410,15258,0.00201218,3.0,33
33,12096,15254,0.002304909,2.0,34
34,10171,15258,0.002478277,3.0,35
35,398,15254,0.002516814,4.0,36
36,5584,15254,0.002530757,3.0,37
37,8348,15261,0.002816409,2.0,38
38,14117,15261,0.002820579,3.0,39
39,188,15258,0.002968954,5.0,40
40,9710,15254,0.002989772,5.0,41
41,9710,15254,0.002989772,5.0,42
42,3245,15258,0.003164207,1.0,43
43,4945,15254,0.003164841,5.0,44
44,6739,15258,0.003230169,3.0,45
45,14276,15254,0.003350298,5.0,46
46,2236,15254,0.003361079,4.0,47
47,12272,15258,0.003390637,5.0,48
48,6211,15261,0.003580889,5.0,49
49,3035,15258,0.003701618,5.0,50
50,14205,15254,0.003801183,5.0,51
51,14150,15258,0.004008208,5.0,52
52,14150,15258,0.004008208,5.0,53
53,14258,15254,0.004016294,2.0,54
54,216,15258,0.004081679,4.0,55
55,8513,15261,0.004480291,2.0,56
56,2151,15261,0.004493532,1.0,57
57,12560,15261,0.004961133,4.0,58
