,u,i,ts,label,idx
0,1,1,0.0,0.0,1
1,1,2,0.0,0.0,2
2,1,3,0.0,0.0,3
3,1,4,0.0,0.0,4
4,1,5,0.0,0.0,5
5,1,6,0.0,0.0,6
6,1,7,0.0,0.0,7
7,1,8,0.0,0.0,8
8,1,9,0.0,0.0,9
9,1,10,0.0,0.0,10
10,1,11,0.0,0.0,11
11,1,12,0.0,0.0,12
12,1,13,0.0,0.0,13
13,1,14,0.0,0.0,14
14,1,15,0.0,0.0,15
15,1,16,0.0,0.0,16
16,1,17,0.0,0.0,17
17,1,18,0.0,0.0,18
18,1,19,0.0,0.0,19
19,1,20,0.0,0.0,20
20,1,161,0.0,0.0,21
21,2,1,0.0,0.0,22
22,2,2,0.0,0.0,23
23,2,3,0.0,0.0,24
24,2,4,0.0,0.0,25
25,2,5,0.0,0.0,26
26,2,6,0.0,0.0,27
27,2,7,0.0,0.0,28
28,2,8,0.0,0.0,29
29,2,9,0.0,0.0,30
30,2,10,0.0,0.0,31
31,2,11,0.0,0.0,32
32,2,13,0.0,0.0,33
33,2,14,0.0,0.0,34
34,2,15,0.0,0.0,35
35,2,17,0.0,0.0,36
36,2,19,0.0,0.0,37
37,2,20,0.0,0.0,38
38,2,21,0.0,0.0,39
39,2,24,0.0,0.0,40
40,2,25,0.0,0.0,41
41,2,32,0.0,0.0,42
42,2,36,0.0,0.0,43
43,2,37,0.0,0.0,44
44,2,40,0.0,0.0,45
45,2,41,0.0,0.0,46
46,2,43,0.0,0.0,47
47,2,44,0.0,0.0,48
48,2,45,0.0,0.0,49
49,2,46,0.0,0.0,50
50,2,47,0.0,0.0,51
51,2,68,0.0,0.0,52
52,2,69,0.0,0.0,53
53,2,161,0.0,0.0,54
54,2,291,0.0,0.0,55
55,2,952,0.0,0.0,56
56,2,1624,0.0,0.0,57
57,3,1,0.0,0.0,58
58,3,2,0.0,0.0,59
59,3,3,0.0,0.0,60
60,3,4,0.0,0.0,61
61,3,5,0.0,0.0,62
62,3,7,0.0,0.0,63
63,3,10,0.0,0.0,64
64,3,11,0.0,0.0,65
65,3,14,0.0,0.0,66
66,3,17,0.0,0.0,67
67,3,18,0.0,0.0,68
68,3,19,0.0,0.0,69
69,3,21,0.0,0.0,70
70,3,37,0.0,0.0,71
71,3,40,0.0,0.0,72
72,3,41,0.0,0.0,73
73,3,42,0.0,0.0,74
74,3,45,0.0,0.0,75
75,3,46,0.0,0.0,76
76,3,47,0.0,0.0,77
77,3,49,0.0,0.0,78
78,3,69,0.0,0.0,79
79,3,103,0.0,0.0,80
80,3,161,0.0,0.0,81
81,4,1,0.0,0.0,82
82,4,2,0.0,0.0,83
83,4,3,0.0,0.0,84
84,4,4,0.0,0.0,85
85,4,5,0.0,0.0,86
86,4,11,0.0,0.0,87
87,4,21,0.0,0.0,88
88,4,24,0.0,0.0,89
89,4,25,0.0,0.0,90
90,4,30,0.0,0.0,91
91,4,32,0.0,0.0,92
92,4,36,0.0,0.0,93
93,4,37,0.0,0.0,94
94,4,38,0.0,0.0,95
95,4,39,0.0,0.0,96
96,4,40,0.0,0.0,97
97,4,41,0.0,0.0,98
98,4,42,0.0,0.0,99
99,4,43,0.0,0.0,100
100,4,44,0.0,0.0,101
101,4,45,0.0,0.0,102
102,4,47,0.0,0.0,103
103,4,54,0.0,0.0,104
104,4,68,0.0,0.0,105
105,4,81,0.0,0.0,106
106,4,161,0.0,0.0,107
107,4,176,0.0,0.0,108
108,4,743,0.0,0.0,109
109,5,1,0.0,0.0,110
110,5,2,0.0,0.0,111
111,5,3,0.0,0.0,112
112,5,4,0.0,0.0,113
113,5,5,0.0,0.0,114
114,5,7,0.0,0.0,115
115,5,9,0.0,0.0,116
116,5,10,0.0,0.0,117
117,5,11,0.0,0.0,118
118,5,15,0.0,0.0,119
119,5,24,0.0,0.0,120
120,5,37,0.0,0.0,121
121,5,41,0.0,0.0,122
122,5,44,0.0,0.0,123
123,5,47,0.0,0.0,124
124,5,49,0.0,0.0,125
125,5,55,0.0,0.0,126
126,5,56,0.0,0.0,127
127,5,57,0.0,0.0,128
128,5,58,0.0,0.0,129
129,5,59,0.0,0.0,130
130,5,60,0.0,0.0,131
131,5,62,0.0,0.0,132
132,5,63,0.0,0.0,133
133,5,67,0.0,0.0,134
134,5,68,0.0,0.0,135
135,5,69,0.0,0.0,136
136,5,71,0.0,0.0,137
137,5,74,0.0,0.0,138
