,u,i,ts,label,idx
0,1,2,0.0,0.0,1
1,1,27,0.0,0.0,2
2,1,28,0.0,0.0,3
3,1,35,0.0,0.0,4
4,2,1,0.0,0.0,5
5,2,28,0.0,0.0,6
6,2,35,0.0,0.0,7
7,3,4,0.0,0.0,8
8,4,3,0.0,0.0,9
9,5,6,0.0,0.0,10
10,6,5,0.0,0.0,11
11,6,7,0.0,0.0,12
12,7,6,0.0,0.0,13
13,8,9,0.0,0.0,14
14,9,8,0.0,0.0,15
15,9,206,0.0,0.0,16
16,10,11,0.0,0.0,17
17,11,10,0.0,0.0,18
18,11,14,0.0,0.0,19
19,12,13,0.0,0.0,20
20,13,12,0.0,0.0,21
21,14,11,0.0,0.0,22
22,14,38,0.0,0.0,23
23,15,16,0.0,0.0,24
24,15,18,0.0,0.0,25
25,16,15,0.0,0.0,26
26,16,177,0.0,0.0,27
27,17,18,0.0,0.0,28
28,17,759,0.0,0.0,29
29,18,15,0.0,0.0,30
30,18,17,0.0,0.0,31
31,19,20,0.0,0.0,32
32,19,21,0.0,0.0,33
33,19,22,0.0,0.0,34
34,20,19,0.0,0.0,35
35,20,21,0.0,0.0,36
36,21,19,0.0,0.0,37
37,21,20,0.0,0.0,38
38,21,22,0.0,0.0,39
39,22,19,0.0,0.0,40
40,22,21,0.0,0.0,41
41,23,24,0.0,0.0,42
42,24,23,0.0,0.0,43
43,25,26,0.0,0.0,44
44,26,25,0.0,0.0,45
45,27,1,0.0,0.0,46
46,27,28,0.0,0.0,47
47,27,29,0.0,0.0,48
48,27,30,0.0,0.0,49
49,27,31,0.0,0.0,50
50,27,32,0.0,0.0,51
51,27,35,0.0,0.0,52
52,28,1,0.0,0.0,53
53,28,2,0.0,0.0,54
54,28,27,0.0,0.0,55
55,28,35,0.0,0.0,56
56,29,27,0.0,0.0,57
57,29,30,0.0,0.0,58
58,29,31,0.0,0.0,59
59,29,32,0.0,0.0,60
60,29,92,0.0,0.0,61
61,29,93,0.0,0.0,62
62,30,27,0.0,0.0,63
63,30,29,0.0,0.0,64
64,30,31,0.0,0.0,65
65,30,32,0.0,0.0,66
66,31,27,0.0,0.0,67
67,31,29,0.0,0.0,68
68,31,30,0.0,0.0,69
69,31,32,0.0,0.0,70
70,32,27,0.0,0.0,71
71,32,29,0.0,0.0,72
72,32,30,0.0,0.0,73
73,32,31,0.0,0.0,74
74,33,34,0.0,0.0,75
75,34,33,0.0,0.0,76
76,35,1,0.0,0.0,77
77,35,2,0.0,0.0,78
78,35,27,0.0,0.0,79
79,35,28,0.0,0.0,80
80,36,37,0.0,0.0,81
81,37,36,0.0,0.0,82
82,38,14,0.0,0.0,83
83,39,40,0.0,0.0,84
84,40,39,0.0,0.0,85
85,40,43,0.0,0.0,86
86,40,44,0.0,0.0,87
87,40,125,0.0,0.0,88
88,40,126,0.0,0.0,89
89,40,823,0.0,0.0,90
90,41,42,0.0,0.0,91
91,42,41,0.0,0.0,92
92,43,40,0.0,0.0,93
93,43,44,0.0,0.0,94
94,44,40,0.0,0.0,95
95,44,43,0.0,0.0,96
96,45,46,0.0,0.0,97
97,46,45,0.0,0.0,98
98,46,77,0.0,0.0,99
99,46,78,0.0,0.0,100
100,46,1352,0.0,0.0,101
101,46,1353,0.0,0.0,102
102,47,48,0.0,0.0,103
103,48,47,0.0,0.0,104
104,48,60,0.0,0.0,105
105,48,61,0.0,0.0,106
106,49,50,0.0,0.0,107
107,50,49,0.0,0.0,108
108,51,52,0.0,0.0,109
109,52,51,0.0,0.0,110
110,53,54,0.0,0.0,111
111,54,53,0.0,0.0,112
112,54,127,0.0,0.0,113
113,55,56,0.0,0.0,114
114,56,55,0.0,0.0,115
115,57,58,0.0,0.0,116
116,57,59,0.0,0.0,117
117,57,587,0.0,0.0,118
118,57,600,0.0,0.0,119
119,58,57,0.0,0.0,120
120,58,59,0.0,0.0,121
121,58,166,0.0,0.0,122
122,59,57,0.0,0.0,123
123,59,58,0.0,0.0,124
124,59,159,0.0,0.0,125
125,59,160,0.0,0.0,126
126,59,582,0.0,0.0,127
127,59,583,0.0,0.0,128
128,59,584,0.0,0.0,129
129,59,616,0.0,0.0,130
130,59,618,0.0,0.0,131
131,60,48,0.0,0.0,132
132,60,61,0.0,0.0,133
133,61,48,0.0,0.0,134
134,61,60,0.0,0.0,135
135,62,63,0.0,0.0,136
136,62,67,0.0,0.0,137
137,62,72,0.0,0.0,138
138,62,1334,0.0,0.0,139
139,63,62,0.0,0.0,140
140,64,65,0.0,0.0,141
141,64,66,0.0,0.0,142
142,65,64,0.0,0.0,143
143,65,66,0.0,0.0,144
144,66,64,0.0,0.0,145
145,66,65,0.0,0.0,146
146,67,62,0.0,0.0,147
147,67,1188,0.0,0.0,148
148,67,1189,0.0,0.0,149
